id,name,image,level,attribute,family,prior_forms,next_forms,lateral_next_forms,digifuse_forms,attacks,included
174,Griffomon,no image,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False
175,Groundramon,./new_digimon_images\Groundramon.jpg,Ultimate,Virus,Dragon's Roar,Coredramon (Green),Breakdramon,Unknown,Unknown,Scrapless Claw,True
176,Growmon,no image,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False
177,Gryzmon,no image,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False
178,Guardromon,./new_digimon_images\Guardromon.jpg,Champion,Virus,Metal Empire,Kokuwamon,Andromon,Guardromon (Gold),Shoutmon X7F Superior Mode,Destruction Grenade,True
179,Guardromon (Gold),no image,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False
180,Guilmon,./new_digimon_images\Guilmon.jpg,Rookie,Virus,Nature Spirits,Gigimon,Growlmon | BlackGrowlmon | Gallantmon | Bearmon,Unknown,Shoutmon X7F Superior Mode,Fireball | Kurenai-maru | Rock 'n' Roll Breaker | Fire Rock Breaker | Surudoi Tsume | Guil Shot | Kiai Tame | Kūchū Wild Upper,True
181,Gundramon,./new_digimon_images\Gundramon.jpg,Mega,Virus,Metal Empire,Unknown,Unknown,Unknown,Unknown,Unknown,True
182,Hackmon,./new_digimon_images\Hackmon.jpg,Rookie,Data,Metal Empire,Unknown,BaoHuckmon,Unknown,Unknown,Fif Slash | Baby Flame,True
183,Hagurumon,./new_digimon_images\Hagurumon.jpg,Rookie,Virus,Metal Empire,Unknown,Guardromon | Mekanorimon | Guardromon (Gold),Unknown,Unknown,Darkness Gear | Makikomi | Kikai Attack,True
184,Hangyomon,no image,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False
185,Hawkmon,./new_digimon_images\Hawkmon.jpg,Rookie,Data / Free,Wind Guardians,Poromon,Aquilamon | Orcamon | Digi-Egg Digivolution Chart,Unknown,Unknown,Feather Slash | Beak Pecker | Loop the Hawk | Kuchibashi Attack,True
186,Herakle Kabuterimon,no image,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False
187,Hi Andromon,no image,Mega,Vaccine,Metal Empire,Andromon,Unknown,Unknown,Unknown,Digimon New Century | Spiral Sword,True
188,Hippogriffomon,./new_digimon_images\Hippogriffomon.jpg,Ultimate,Data,Wind Guardians,Unimon,Gryphonmon | Zhuqiaomon,Unknown,Unknown,Unknown,True
189,Hisyaryumon,./new_digimon_images\Hisyaryumon.jpg,Ultimate,Vaccine,Nature Spirits,DexDorugamon,Ouryumon,Unknown,Unknown,Seiryūjin | Jūouguruma,True
190,Holsmon,no image,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False
191,Holy Angemon,no image,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False
192,Holydramon,no image,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False
193,Hououmon,no image,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False
194,Hyokomon,./new_digimon_images\Hyokomon.jpg,Rookie,Vaccine,Wind Guardians,Chicchimon,Buraimon,Unknown,Unknown,Karatakewari,True
195,Hyougamon,no image,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False
196,Ice Devimon,no image,Champion,Virus,Nightmare Soldiers,Impmon,IceDevimon (Enhancement Absorbent) | Icemon | IceDevimon-Daipenmon Enhancement | Daipenmon | SkullSatamon,Unknown,Shoutmon X7F Superior Mode,Frost Claw | Icy Shower | Zero Freeze | Cold Blood | Razor Wing,True
197,Icemon,./new_digimon_images\Icemon.jpg,Champion,Data,Nature Spirits,Gotsumon,Meteormon | IceDevimon (Enhancement Absorbent) | IceDevimon,Unknown,Unknown,On the Rock | Digimon World 2,True
198,Ikkakumon,./new_digimon_images\Ikkakumon.jpg,Champion,Vaccine,Deep Savers,Gomamon,Zudomon,Unknown,Unknown,Harpoon Vulcan | Digimon Digital Card Battle | Northern Lights | Digimon Rumble Arena 2,True
199,Imperialdramon Dragon Mode,./new_digimon_images\Imperialdramon_Dragon_Mode.jpg,Mega,Vaccine / Free,Nature Spirits,Paildramon,Unknown,Imperialdramon Fighter Mode | Imperialdramon Dragon Mode (Black),Unknown,Mega Death | Splendor Blade,True
200,Imperialdramon Fighter Mode,./new_digimon_images\Imperialdramon_Fighter_Mode.jpg,Mega,Vaccine / Free,Nature Spirits,Flamedramon,Unknown,Imperialdramon Paladin Mode | Omnimon,Unknown,Giga Death | Super Positron Laser | Ion Blaster | Digimon All-Star Rumble | Chōetsu Positron Laser,True
201,Imperialdramon Paladin Mode,./new_digimon_images\Imperialdramon_Paladin_Mode.jpg,Mega,Vaccine / Free,Metal Empire,Unknown,Unknown,Unknown,Unknown,Omega Blade | Giga Death,True
202,Impmon,./new_digimon_images\Impmon.jpg,Rookie,Virus,Nightmare Soldiers,Yaamon,IceDevimon | Meramon,Unknown,Shoutmon X7F Superior Mode,Summon | Night of Fire | Pillar of Fire | Dadadada Kick | Digimon All-Star Rumble | Night of Blizzard | Yami Fire,True
203,Infermon,./new_digimon_images\Infermon.jpg,Ultimate,Virus / Free,Dark Area,Chrysalimon,Diaboromon,Unknown,Unknown,Hell's Grenade | Cocoon Attack | Virus Skater,True
204,Insekimon,no image,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False
205,Jesmon,./new_digimon_images\Jesmon.jpg,Mega,Data,Virus Busters,SaviorHuckmon,Unknown,Jesmon GX,Unknown,Tekken Seibai | Schwertgeist | OSGenerics,True
206,Jewelbeemon,./new_digimon_images\JewelBeemon.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False
207,Jumbo Gamemon,no image,Mega,Data,Deep Savers,Shawjamon,Unknown,Unknown,Unknown,Unknown,True
208,Junomon,./new_digimon_images\Junomon.jpg,Mega,Virus,Nightmare Soldiers,Unknown,Unknown,Junomon Hysteric Mode,Unknown,Grace Lance,True
209,Junomon  Hysteric Mode,no image,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False
210,Jupitermon,./new_digimon_images\Jupitermon.jpg,Mega,Vaccine,Wind Guardians,Aegiochusmon Holy,Unknown,Jupitermon Wrath Mode,Unknown,Unknown,True
211,Jupitermon  Wrath Mode,no image,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False
212,Justimon,./new_digimon_images\Justimon.jpg,Mega,Vaccine,Metal Empire,Unknown,Unknown,Unknown,Unknown,Accel Arm,True
213,Jyureimon,no image,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False
214,Kabuterimon,./new_digimon_images\Kabuterimon.jpg,Champion,Vaccine,Nature Spirits,Tentomon,MegaKabuterimon (Red) | MegaKabuterimon (Blue) | Kimeramon | Devimon | Kongoumon | TyrantKabuterimon,Unknown,Shoutmon X7F Superior Mode,Mega Blaster | Beetle Horn | Blink Thrust | Insect Plague | Danger Sting,True
215,Kaiser Greymon,no image,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False
216,Kamemon,./new_digimon_images\Kamemon.jpg,Rookie,Data,Deep Savers,Unknown,Gwappamon,Unknown,Shoutmon X7F Superior Mode,Pointer Arrow | 'met Tackle | Kōra Gādo | Kōra Atakku,True
217,Karatuki Numemon,no image,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False
218,Keramon,./new_digimon_images\Keramon.jpg,Rookie,Virus / Free,Dark Area,Tsumemon,Chrysalimon,Unknown,Unknown,Crazy Giggle,True
219,King Etemon,no image,Mega,Virus,Nightmare Soldiers,Etemon,Unknown,Unknown,Unknown,Saru Shibai,True
220,Kiwimon,./new_digimon_images\Kiwimon.jpg,Champion,Data,Wind Guardians,Floramon,Sinduramon | Blossomon | Sirenmon,Unknown,Unknown,Little Pecker | Nose Mattock,True
221,Knightmon,./new_digimon_images\Knightmon.jpg,Ultimate,Data,Metal Empire,Gummymon,Crusadermon | Leopardmon,Unknown,Shoutmon X7F Superior Mode,Digimon Frontier,True
222,Kokuwamon,./new_digimon_images\Kokuwamon.jpg,Rookie,Data,Metal Empire,Kapurimon,Guardromon | Thundermon,Unknown,Unknown,Scissor Arms Mini | Assemble Work | Elect-Elect | Inazuma Giri,True
223,Koromon,./new_digimon_images\Koromon.jpg,In-Training,Data / Free,Dragon's Roar,Botamon,Agumon | Agumon (2006 anime) | Betamon | Agumon Expert,Unknown,Unknown,Awa | San no Awa | Doku no Awa,True
224,Kotemon,./new_digimon_images\Kotemon.jpg,Rookie,Data,Nature Spirits,Unknown,Dinohyumon | Kyukimon | Musyamon | Gladimon,Unknown,Unknown,FireMen | Inazuma Giri,True
225,Kudamon,./new_digimon_images\Kudamon.jpg,Rookie,Vaccine,Virus Busters,Unknown,Unknown,Unknown,Unknown,Dangan Senpū | Zekkoushou,True
226,Kuramon,./new_digimon_images\Kuramon.jpg,Fresh,Free,Nightmare Soldiers,Unknown,Tsumemon | Armageddemon,Unknown,Unknown,Glare Eye | Awa,True
227,Kuwagamon,./new_digimon_images\Kuwagamon.jpg,Champion,Virus,Nature Spirits,Unknown,Megadramon | Kokatorimon | Okuwamon | MetalTyrannomon | DarkTyrannomon,Unknown,Unknown,Scissor Arms | Trap Scissors,True
228,Kuzuhamon,./new_digimon_images\Kuzuhamon.jpg,Mega,Data,Nightmare Soldiers,Doumon,Unknown,Kuzuhamon Maid Mode,Unknown,Ura Izuna | Taizoukai Mandala[10],True
229,Kyubimon,./new_digimon_images\Kyubimon.jpg,Champion,Data,Nightmare Soldiers,Renamon,Taomon,Unknown,Unknown,Koenryū | Onibidama | Zutsuki | Koshūgeki | Kodengeki | Amatsu-kitsune,True
230,Lady Devimon,no image,Ultimate,Virus,Unknown,BlackGatomon,SkullSatamon | MarineDevimon | Myotismon | MarineDevimon | Minervamon | Mastemon | Angewomon | Apocalymon | Vilemon | DemiDevimon | SkullSatamon | Myotismon | Puppetmon,Unknown,Shoutmon X7F Superior Mode,Poison | citation needed | Binta,True
231,Lalamon,./new_digimon_images\Lalamon.jpg,Rookie,Data,Jungle Troopers,Budmon,Sunflowmon,Unknown,Unknown,Nuts Shoot | Lala Screw | Petit Tackle,True
232,Lekismon,./new_digimon_images\Lekismon.jpg,Champion,Data,Deep Savers,Lunamon,Crescemon,Unknown,Unknown,Unknown,True
233,Leomon,./new_digimon_images\Leomon.jpg,Champion,Vaccine,Nature Spirits,Elecmon,IceLeomon | GrapLeomon | BanchoLeomon,Unknown,Unknown,Jūouken | Shishiou-maru | Jūga-maru | Hasaigeri | Hyakujūken[22] | Jūouha | Shishi Jūhazan | citation needed,True
234,Leviamon,./new_digimon_images\Leviamon.jpg,Mega,Virus,Deep Savers,MarineDevimon,Ogudomon | Lucemon Chaos Mode | Daemon | Belphemon Rage Mode | Barbamon | Beelzemon | Lilithmon,Unknown,Shoutmon X7F Superior Mode,Rostrum | Cauda | Anima | Duo Cauda,True
235,Lighdramon,no image,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False
236,Lilamon,./new_digimon_images\Lilamon.jpg,Ultimate,Data,Jungle Troopers,Sunflowmon,Rosemon | Lotosmon | Minervamon,Unknown,Shoutmon X7F Superior Mode,Un Deux Pollen,True
237,Lilimon,no image,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False
238,Lilithmon,./new_digimon_images\Lilithmon.jpg,Mega,Virus,Nightmare Soldiers,Bastemon,Unknown,Unknown,Unknown,NazarNail,True
239,Loader Leomon,no image,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False
240,Locomon,./new_digimon_images\Locomon.jpg,Ultimate,Data,Metal Empire,Unknown,GranLocomon,Unknown,Unknown,Unknown,True
241,Lopmon,./new_digimon_images\Lopmon.jpg,Rookie,Data,Nature Spirits,Kokomon,Wendigomon | Turuiemon,Unknown,Shoutmon X7F Superior Mode,Petit Twister | Kūchū Blazing Ice | Guruguru Slap,True
242,Lord Knightmon,no image,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False
243,Lotusmon,no image,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False
244,Lucemon,./new_digimon_images\Lucemon.jpg,Rookie,Vaccine,Virus Busters,Unknown,Lucemon Chaos Mode,Unknown,Unknown,Divine Feat,True
245,Lucemon  Falldown Mode,no image,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False
246,Lucemon  Satan Mode,no image,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False
247,Lunamon,./new_digimon_images\Lunamon.jpg,Rookie,Data,Deep Savers,Moonmon,Lekismon,Unknown,Unknown,Pico Darts,True
248,Mach Gaogamon,no image,Ultimate,Data,Nature Spirits,Gaogamon,MirageGaogamon | ZeedGarurumon,Unknown,Unknown,Gaoga Tornado,True
249,Magna Garurumon,no image,Hybrid,Data / Variable,Metal Empire,Spirits,Susanoomon | EmperorGreymon,MagnaGarurumon (SV),Unknown,Machine Gun Destroy | Starlight Velocity,True
250,Magna Garurumon  Separation,no image,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False
251,Magna Kidmon,no image,Mega,Virus,Virus Busters,Unknown,Unknown,Unknown,Unknown,Unknown,True
252,Magnamon,./new_digimon_images\Magnamon.jpg,Armor,Vaccine / Free,Metal Empire,Veemon,Unknown,Unknown,Unknown,Plasma Shoot | Extreme Jihad | Magnum Punch | Magnum Kick | Light Aura Barrier,True
253,Mamemon,./new_digimon_images\Mamemon.jpg,Ultimate,Data,Metal Empire,Seadramon,TonosamaMamemon | PrinceMamemon | Machinedramon,MetalMamemon | BigMamemon | CatchMamemon,Unknown,Smiley Bomb | One-Two Rush | Buster Dive | Strike Upper,True
254,Mammon,no image,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False
255,Marin Angemon,no image,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False
256,Marsmon,./new_digimon_images\Marsmon.jpg,Mega,Vaccine,Virus Busters,GrapLeomon,Unknown,Unknown,Unknown,Mugenhadou,True
257,Mastemon,./new_digimon_images\Mastemon.jpg,Mega,Vaccine,Unknown,Angewomon,Unknown,Unknown,Unknown,Chaos Degrade,True
258,Master Blimpmon,no image,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False
259,Matadrmon,no image,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False
260,Mechanorimon,no image,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False
261,Medieval Dukemon,no image,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False
262,Mega Seadramon,no image,Ultimate,Data,Deep Savers,SnowAgumon,MetalSeadramon,Unknown,Unknown,Maelstrom | Dramon Attack | Ice Arrow | Stinger Surprise | Ice Reflect | Shimetsukeru,True
263,Megadramon,./new_digimon_images\Megadramon.jpg,Ultimate,Virus,Metal Empire,Monodramon,Ghoulmon | Cherrymon | Machinedramon | WarGreymon | Dinorexmon,Unknown,Unknown,Genocide Attack | Ultimate Slicer | Mega Death Scythe,True
264,Megalo Growmon,no image,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False
265,Megidramon,./new_digimon_images\Megidramon.jpg,Mega,Virus,Nightmare Soldiers,WarGrowlmon,Unknown,Unknown,Unknown,Hell Howling | MegiddoFlame,True
266,Meramon,./new_digimon_images\Meramon.jpg,Champion,Data,Nightmare Soldiers,DemiMeramon,BlueMeramon | SkullMeramon | FusedAncientVolcanomon | AncientVolcanomon,Unknown,Unknown,Burning Fist | Guren no Honoo | Magma Bomb,True
267,Mercurymon,./new_digimon_images\Mercurymon.jpg,Hybrid,Variable,Metal Empire,H Spirit of Steel,ShadowSeraphimon | Seraphimon,Unknown,Unknown,Generous Mirror | Offset Reflector,True
268,Mervamon,./new_digimon_images\Mervamon.jpg,Mega,Virus,Nightmare Soldiers,Unknown,Unknown,Unknown,Shoutmon X7F Superior Mode,Hebi Panchi,True
269,Metal Etemon,no image,Mega,Virus,Nature Spirits,Etemon,Unknown,KingEtemon,Unknown,Mega Punch | Hekoki Attack | Number One Punch | Full Metal Hip Attack | Heavy Mon-kick | Dark Recital | Love Serenade,True
270,Metal Garurumon,no image,Mega,Data,Metal Empire,WereGarurumon,Omnimon | WarGreymon | Omnimon X | WarGreymon | Omnimon Zwart | WarGreymon,Unknown,Shoutmon X7F Superior Mode,CocytusBreath | Metal Fang | Blizzard Attack | Giga Destruction | Metal Scratch,True
271,Metal Greymon,no image,Ultimate,Virus,Dragon's Roar,Greymon (2010 anime),ZekeGreymon,Unknown,Unknown,Giga Destroyer,True
272,Metal Mamemon,no image,Ultimate,Data,Metal Empire,Unknown,PrinceMamemon,Unknown,Unknown,Energy Bomb | Magnet Beam,True
273,Metal Seadramon,no image,Mega,Data,Deep Savers,MegaSeadramon,Unknown,GigaSeadramon,Unknown,Ultimate Stream | Hell Squeeze | Poseidon Divide | Shimetsuke,True
274,Metal Tyranomon,no image,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False
275,Millenniumon,no image,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False
276,Minervamon,./new_digimon_images\Minervamon.jpg,Mega,Virus,Nightmare Soldiers,Digitamamon,Unknown,Mervamon,Unknown,Unknown,True
277,Minotaurmon,no image,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False
278,Mirage Gaogamon,no image,Mega,Data,Nature Spirits,MachGaogamon,Unknown,MirageGaogamon Burst Mode,Unknown,Unknown,True
279,Mirage Gaogamon  Burst Mode,no image,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False
280,Mistymon,./new_digimon_images\Mistymon.jpg,Ultimate,Virus,Virus Busters,Wizardmon,Dynasmon | MedievalGallantmon,Unknown,Unknown,Unknown,True
281,Mochimon,no image,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False
282,Mojyamon,./new_digimon_images\Mojyamon.jpg,Champion,Vaccine,Nature Spirits,Gomamon,Piximon,Unknown,Unknown,Icicle Rod | Hone Hone Boomerang,True
283,Monochromon,./new_digimon_images\Monochromon.jpg,Champion,Data,Nature Spirits,Gotsumon,Megadramon | Vermilimon | Triceramon,Unknown,Unknown,Volcano Strike | Tai Atari | Grand Fire | Gaudy Tusk | Mega Flame,True
284,Monodramon,./new_digimon_images\Monodramon.jpg,Rookie,Vaccine,Nature Spirits,Hopmon,Strikedramon | Airdramon,Unknown,Shoutmon X7F Superior Mode,Crack Bite | Zutsuki Kougeki,True
285,Monzaemon,./new_digimon_images\Monzaemon.jpg,Ultimate,Vaccine,Metal Empire,Gummymon,GigaWaruMonzaemon | WaruMonzaemon | Lilithmon | ShinMonzaemon,Unknown,Unknown,Lovely Attack | Ai no Houkou | Silence Hug | Bunbun Punch,True
286,Muchomon,./new_digimon_images\Muchomon.jpg,Rookie,Data,Deep Savers,Tokomon,Sinduramon | Kokatorimon,Unknown,Unknown,Mugen Binta | Ardent Flair | Kauntā Binta | Kuchibashi Attack,True
287,Mugendramon,no image,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False
288,Mummymon,./new_digimon_images\Mummymon.jpg,Ultimate,Virus,Unknown,Unknown,Beelzemon | Matadormon | Pharaohmon,Unknown,Unknown,Unknown,True
289,Mushmon,no image,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False
290,Musyamon,./new_digimon_images\Musyamon.jpg,Champion,Virus,Nightmare Soldiers,Kotemon,Asuramon,Unknown,Unknown,Kirisute Gomen | Shiratori-maru,True
291,Nanimon,./new_digimon_images\Nanimon.jpg,Champion,Virus,Unknown,Unknown,Unknown,PlatinumSukamon,Unknown,OYAJIPunch | Unchi Kougeki | Unchi | Dead Word | Unchi Danku,True
292,Nanomon,no image,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False
293,Nefertimon,./new_digimon_images\Nefertimon.jpg,Armor,Vaccine / Free,Virus Busters,Gatomon,Angewomon,Unknown,Unknown,NileJewelry | Curse of Queen | Paw of Queen,True
294,Neptunemon,./new_digimon_images\Neptunemon.jpg,Mega,Vaccine,Deep Savers,Whamon (Ultimate),Unknown,Unknown,Unknown,Vortex Penetrate | Wave of Depth,True
295,Numemon,./new_digimon_images\Numemon.jpg,Champion,Virus,Unknown,Agumon,Monzaemon | BlackKingNumemon,KyodaiNumemon | Sukamon | ShellNumemon | GoldNumemon,Unknown,Unchi | Unchi Nage | Chou Akushū Funsha | Enga Chou Kick | Renzoku Unchi Nage | Nume Tai Atari | Iya~ na Shita | Choukyori Unchi Nage,True
296,Nyaromon,./new_digimon_images\Nyaromon.jpg,In-Training,Free,Nature Spirits,YukimiBotamon,Salamon,Unknown,Unknown,Fox Tail | Awa,True
297,Octmon,no image,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False
298,Ofanimon,no image,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False
299,Okuwamon,./new_digimon_images\Okuwamon.jpg,Ultimate,Virus,Nature Spirits,Kuwagamon,GranKuwagamon,Unknown,Unknown,Scissor Arms Ω | Hakai no Shoudou,True
300,Omega Shoutmon,no image,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False
301,Omegamon,no image,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False
302,Omegamon Zwart,no image,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False
303,Orgemon,no image,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False
304,Orochimon,./new_digimon_images\Orochimon.jpg,Ultimate,Virus,Nature Spirits,Eyesmon,MadLeomon (Orochimode) | MadLeomon | Ebonwumon | Nidhoggmon,Unknown,Unknown,Sake Breath,True
305,Otamamon,./new_digimon_images\Otamamon.jpg,Rookie,Virus,Nature Spirits,Unknown,Gekomon,Unknown,Unknown,Lullaby Bubble | Child Claw | Tai Atari,True
306,Ouryumon,./new_digimon_images\Ouryumon.jpg,Mega,Vaccine,Nature Spirits,Hisyaryumon,Alphamon Ouryuken | Alphamon,Unknown,Unknown,Eiseiryūoujin | Ougai,True
307,Pagumon,./new_digimon_images\Pagumon.jpg,In-Training,Virus / Free,Nightmare Soldiers,Zurumon,Raremon | BlackAgumon | Gizamon,Unknown,Unknown,Doku no Awa | Awa[7] | San no Awa,True
308,Paildramon,./new_digimon_images\Paildramon.jpg,Ultimate,Data / Free,Nature Spirits,ExVeemon,Imperialdramon Dragon Mode | Imperialdramon Fighter Mode,Unknown,Unknown,Esgrima | Elemental Bolt,True
309,Palmon,./new_digimon_images\Palmon.jpg,Rookie,Data,Nature Spirits,Tanemon,Togemon | Woodmon | Sunflowmon,Unknown,Shoutmon X7F Superior Mode,Root Stretch | Sleep Spore | Nioi Kougeki | Kusai Nioi | Totemo Kusai Nioi,True
310,Pandamon,./new_digimon_images\Pandamon.jpg,Ultimate,Data,Unknown,Grizzlymon,BanchoLeomon | GrapLeomon,Unknown,Unknown,Sasa Punch | Shoudan | Unnanshou,True
311,Panjyamon,no image,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False
312,Parrotmon,./new_digimon_images\Parrotmon.jpg,Ultimate,Vaccine,Wind Guardians,Tokomon,Eaglemon,Unknown,Unknown,citation needed | MjölnirThunder,True
313,Patamon,./new_digimon_images\Patamon.jpg,Rookie,Data / Free,Nature Spirits,Tokomon,Angemon | Pegasusmon | Digi-Egg Digivolution Chart,Unknown,Shoutmon X7F Superior Mode,Air Shot | Air Gust | Tai Atari | Pretty Rush | Geigeki Air Shot | Hane Binta | Thousand Wing | Tai Atari Bomb | Sparking Air Shot,True
314,Peckmon,./new_digimon_images\Peckmon.jpg,Champion,Vaccine,Wind Guardians,Falcomon (2006 anime),Crowmon (2006 anime),Unknown,Unknown,Thousand Beak | Kunai Bane | Meakeri | Tsuyoi Maekeri,True
315,Pegasmon,no image,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False
316,Penmon,no image,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False
317,Pharaohmon,./new_digimon_images\Pharaohmon.jpg,Mega,Virus,Nightmare Soldiers,Mummymon,Unknown,Anubismon,Unknown,Unknown,True
318,Piccolomon,no image,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False
319,Pico Devimon,no image,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False
320,Piemon,no image,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False
321,Pile Volcamon,no image,Mega,Data,Metal Empire,Volcamon,Unknown,Unknown,Unknown,Unknown,True
322,Pinochimon,no image,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False
323,Piyomon,no image,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False
324,Platinum Numemon,no image,Mega,Virus,Metal Empire,BlackKingNumemon,Unknown,Unknown,Unknown,Platinum Excrement | Excrement | Sugoku Iya de Dekkai Shita,True
325,Platinum Scumon,no image,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False
326,Plesiomon,./new_digimon_images\Plesiomon.jpg,Mega,Data,Deep Savers,Zudomon,Unknown,Aegisdramon,Unknown,Unknown,True
327,Plotmon,no image,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False
328,Plutomon,./new_digimon_images\Plutomon.jpg,Mega,Virus,Unknown,Cerberusmon Werewolf Mode,Plutomon (Fusion) | Master,Unknown,Unknown,Chaos Rights,True
329,Poyomon,./new_digimon_images\Poyomon.jpg,Fresh,Data / Free,Deep Savers,Unknown,Tokomon | Frigimon | Brachiomon | Bukamon | Tokomon X,Unknown,Unknown,Kyouryoku San no Awa | San no Awa | Awa,True
330,Prince Mamemon,no image,Mega,Data,Virus Busters,MetalMamemon,Unknown,Unknown,Unknown,Digimon World Dawn and Dusk,True
331,Pukamon,no image,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False
332,Pukumon,./new_digimon_images\Pukumon.jpg,Mega,Virus,Deep Savers,ShogunGekomon,Unknown,Unknown,Unknown,Unknown,True
333,Pumpmon,no image,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False
334,Punimon,./new_digimon_images\Punimon.jpg,Fresh,Data / Free,Unknown,Unknown,Tsunomon | Salamon,Unknown,Unknown,San no Awa | Awa,True
335,Pyocomon,no image,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False
336,Ranamon,./new_digimon_images\Ranamon.jpg,Hybrid,Vaccine / Variable,Deep Savers,H Spirit of Water,Unknown,Unknown,Unknown,Rain Stream | Jealousy Rain,True
337,Rapidmon Armor,no image,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False
338,Rapidmon Perfect,no image,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False
339,Raptordramon,no image,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False
