id,name,image,level,attribute,family,prior_forms,next_forms,lateral_next_forms,digifuse_forms,attacks,included,description
130,Ex-Tyranomon,/digimons_images/placeholder.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,
131,Falcomon,/digimons_images/Falcomon.jpg,Rookie,Vaccine,Wind Guardians,Unknown,Diatrymon,Unknown,Unknown,Unknown,True,"Ninja-like bird Digimon, silent and quick, always alert in combat."
132,Fantomon,/digimons_images/placeholder.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,
133,Firamon,/digimons_images/Firamon.jpg,Champion,Vaccine,Dragon's Roar,Coronamon,Flaremon,Unknown,Unknown,Unknown,True,
134,Fladramon,/digimons_images/placeholder.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,
135,Flaremon,/digimons_images/Flaremon.jpg,Ultimate,Vaccine,Dragon's Roar,Firamon,Apollomon,Unknown,Unknown,Guren Juuouha | Kurenai Shishi no Mai[2] | Seisei no Houkou,True,
136,Floramon,/digimons_images/Floramon.jpg,Rookie,Data,Wind Guardians,Tanemon,Kiwimon | Ninjamon | Vegiemon,Unknown,Unknown,Allergy Shower,True,"Flower Digimon with a mischievous smile, playful and tricky."
137,Flymon,/digimons_images/Flymon.jpg,Champion,Virus,Unknown,Kunemon,Okuwamon | JewelBeemon,Unknown,Unknown,Deadly Sting,True,
138,Fugamon,/digimons_images/Fugamon.jpg,Champion,Virus,Nightmare Soldiers,Goblimon,Unknown,Unknown,Unknown,Digimon World: Next Order,True,
139,Funbeemon,/digimons_images/placeholder.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,
140,Gabumon,/digimons_images/Gabumon.jpg,Rookie,Data,Nature Spirits,Tsunomon,Garurumon | Gabumon (Bond of Friendship),BlackGabumon,Shoutmon X7F Superior Mode,Petit Fire | Tsuno Kougeki | Hidden Knock,True,"Shy reptile covered in Garurumon’s fur, loyal to its partner and courageous when needed."
141,Gabumon Bond of Friendship,/digimons_images/Gabumon Bond of Friendship.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,
142,Gaioumon,/digimons_images/placeholder.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,
143,Ganimon,/digimons_images/placeholder.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,
144,Gankoomon,/digimons_images/Gankoomon.jpg,Mega,Data,Virus Busters,Unknown,Unknown,Unknown,Unknown,Tekken Seisai[10] | Jishin! Kaminari! Kaji! Oyaji! | Chabudai Gaeshi,True,
145,Gaogamon,/digimons_images/Gaogamon.jpg,Champion,Data,Nature Spirits,Gaomon,MachGaogamon,Unknown,Unknown,Unknown,True,
146,Gaomon,/digimons_images/Gaomon.jpg,Rookie,Data,Nature Spirits,Wanyamon,Gaogamon | BlackGaogamon,Unknown,Unknown,Unknown,True,"Beast Digimon resembling a blue dog, fast and skilled in martial arts."
147,Gargomon,/digimons_images/Gargomon.jpg,Champion,Vaccine,Nature Spirits,Terriermon,Rapidmon | Rapidmon (Armor),Unknown,Unknown,Gatling Arm | DumdumUpper,True,
148,Garudamon,/digimons_images/Garudamon.jpg,Ultimate,Vaccine,Wind Guardians,Birdramon,Phoenixmon | Ornismon,Unknown,Unknown,Shadow Wing | Crimson Claw | Kyoushū | Phoenix Fist | Garuda Punch,True,
149,Garummon,/digimons_images/placeholder.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,
150,Garurumon,/digimons_images/Garurumon.jpg,Champion,Vaccine,Nightmare Soldiers,Gabumon,WereGarurumon | ShadowWereGarurumon,Unknown,Shoutmon X7F Superior Mode,Fox Fire | Tai Atari | Freeze Fang,True,
151,Gawappamon,/digimons_images/placeholder.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,
152,Gazimon,/digimons_images/Gazimon.jpg,Rookie,Virus,Nightmare Soldiers,Unknown,Devidramon | Deltamon | BlackGarurumon | Leomon | Apemon,Unknown,Unknown,Paralyze Breath,True,
153,Gekomon,/digimons_images/Gekomon.jpg,Champion,Virus,Nature Spirits,Otamamon,ShogunGekomon | Whamon,Unknown,Unknown,Crash Symphony | Bero Kougeki,True,"Frog Digimon that loves to sing, often obedient to stronger Digimon."
154,Geo Greymon,/digimons_images/placeholder.jpg,Champion,Vaccine,Dragon's Roar,Agumon (2006 anime),RizeGreymon,Unknown,Unknown,Unknown,True,
155,Gerbemon,/digimons_images/placeholder.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,
156,Geremon,/digimons_images/Geremon.jpg,Champion,Virus,Unknown,Unknown,Unknown,Unknown,Unknown,Hyper Smell | Unchi Nage | Iya~ na Shita | Renzoku Unchi Nage | Nume Tai Atari | Unchi,True,
157,Gigadramon,/digimons_images/Gigadramon.jpg,Ultimate,Virus,Metal Empire,Unknown,Unknown,Unknown,Unknown,Guilty Claw,True,
158,Ginryumon,/digimons_images/Ginryumon.jpg,Champion,Vaccine,Nature Spirits,Ryudamon,Hisyaryumon,Unknown,Unknown,Tekkoujin | Boujinha,True,
159,Gizamon,/digimons_images/Gizamon.jpg,Rookie,Virus,Deep Savers,Pagumon,Datamon | DarkTyrannomon,Unknown,Unknown,Spiral Edge,True,"Aquatic beast Digimon, aggressive and territorial in rivers."
160,Goburimon,/digimons_images/placeholder.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,
161,Goddramon,/digimons_images/placeholder.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,
162,Gold Numemon,/digimons_images/placeholder.jpg,Champion,Virus,Metal Empire,Unknown,Unknown,Unknown,Unknown,Gold-DurianRush | Goldonara | Iya de Dekkai Shita | Gold Excrement,True,
163,Golemon,/digimons_images/Golemon.jpg,Champion,Virus,Unknown,Gotsumon,PileVolcamon | Gogmamon,Unknown,Shoutmon X7F Superior Mode,Curse Crimson | Golem Punch,True,
164,Gomamon,/digimons_images/Gomamon.jpg,Rookie,Vaccine,Deep Savers,Bukamon,Ikkakumon | Gaogamon | Mojyamon,Unknown,Unknown,Marching Fishes | Surudoi Tsume | Sharp Edge | Sufer Dive | Bubble Barrier,True,"Seal-like Digimon with orange hair tufts, fun-loving and able to command sea creatures."
165,Gottsumon,/digimons_images/placeholder.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,
166,Grace Novamon,/digimons_images/placeholder.jpg,Mega,Vaccine,Unknown,Apollomon,Unknown,Unknown,Unknown,Unknown,True,
167,Grademon,/digimons_images/Grademon.jpg,Ultimate,Vaccine,Nature Spirits,Reptiledramon,Alphamon,Unknown,Shoutmon X7F Superior Mode,Unknown,True,
168,Gran Kuwagamon,/digimons_images/placeholder.jpg,Mega,Virus / Free,Nature Spirits,Dinobeemon,MegaGranKuwagamon,GrandisKuwagamon,Unknown,Grand Death Screw | Zone Black Hole,True,
169,Grand Dracumon,/digimons_images/placeholder.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,
170,Grand Locomon,/digimons_images/placeholder.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,
171,Grappu Leomon,/digimons_images/placeholder.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,
172,Great Gryzmon,/digimons_images/placeholder.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,
173,Greymon,/digimons_images/Greymon.jpg,Champion,Vaccine,Nature Spirits,Agumon,MetalGreymon (Vaccine) | MetalGreymon (Virus) | SkullGreymon | RizeGreymon | Triceramon | Megadramon,Unknown,Unknown,Mega Flame | Great Antler | Great Horn Attack | Great Horn,True,
174,Griffomon,/digimons_images/placeholder.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,
175,Groundramon,/digimons_images/Groundramon.jpg,Ultimate,Virus,Dragon's Roar,Coredramon (Green),Breakdramon,Unknown,Unknown,Scrapless Claw,True,
176,Growmon,/digimons_images/placeholder.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,
177,Gryzmon,/digimons_images/placeholder.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,
178,Guardromon,/digimons_images/Guardromon.jpg,Champion,Virus,Metal Empire,Kokuwamon,Andromon,Guardromon (Gold),Shoutmon X7F Superior Mode,Destruction Grenade,True,
179,Guardromon (Gold),/digimons_images/placeholder.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,
180,Guilmon,/digimons_images/Guilmon.jpg,Rookie,Virus,Nature Spirits,Gigimon,Growlmon | BlackGrowlmon | Gallantmon | Bearmon,Unknown,Shoutmon X7F Superior Mode,Fireball | Kurenai-maru | Rock 'n' Roll Breaker | Fire Rock Breaker | Surudoi Tsume | Guil Shot | Kiai Tame | Kūchū Wild Upper,True,"Red dinosaur-like Digimon with a youthful appearance, marked with the Digital Hazard, and fond of bread."
181,Gundramon,/digimons_images/Gundramon.jpg,Mega,Virus,Metal Empire,Unknown,Unknown,Unknown,Unknown,Unknown,True,
182,Hackmon,/digimons_images/Hackmon.jpg,Rookie,Data,Metal Empire,Unknown,BaoHuckmon,Unknown,Unknown,Fif Slash | Baby Flame,True,
183,Hagurumon,/digimons_images/Hagurumon.jpg,Rookie,Virus,Metal Empire,Unknown,Guardromon | Mekanorimon | Guardromon (Gold),Unknown,Unknown,Darkness Gear | Makikomi | Kikai Attack,True,
184,Hangyomon,/digimons_images/placeholder.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,
185,Hawkmon,/digimons_images/Hawkmon.jpg,Rookie,Data / Free,Wind Guardians,Poromon,Aquilamon | Orcamon | Digi-Egg Digivolution Chart,Unknown,Unknown,Feather Slash | Beak Pecker | Loop the Hawk | Kuchibashi Attack,True,Bird warrior Digimon with a disciplined nature and pride in its strength.
186,Herakle Kabuterimon,/digimons_images/placeholder.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,
187,Hi Andromon,/digimons_images/placeholder.jpg,Mega,Vaccine,Metal Empire,Andromon,Unknown,Unknown,Unknown,Digimon New Century | Spiral Sword,True,
188,Hippogriffomon,/digimons_images/Hippogriffomon.jpg,Ultimate,Data,Wind Guardians,Unimon,Gryphonmon | Zhuqiaomon,Unknown,Unknown,Unknown,True,
189,Hisyaryumon,/digimons_images/Hisyaryumon.jpg,Ultimate,Vaccine,Nature Spirits,DexDorugamon,Ouryumon,Unknown,Unknown,Seiryūjin | Jūouguruma,True,
190,Holsmon,/digimons_images/placeholder.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,
191,Holy Angemon,/digimons_images/placeholder.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,
192,Holydramon,/digimons_images/placeholder.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,
193,Hououmon,/digimons_images/placeholder.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,
194,Hyokomon,/digimons_images/Hyokomon.jpg,Rookie,Vaccine,Wind Guardians,Chicchimon,Buraimon,Unknown,Unknown,Karatakewari,True,
195,Hyougamon,/digimons_images/placeholder.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,
196,Ice Devimon,/digimons_images/placeholder.jpg,Champion,Virus,Nightmare Soldiers,Impmon,IceDevimon (Enhancement Absorbent) | Icemon | IceDevimon-Daipenmon Enhancement | Daipenmon | SkullSatamon,Unknown,Shoutmon X7F Superior Mode,Frost Claw | Icy Shower | Zero Freeze | Cold Blood | Razor Wing,True,
197,Icemon,/digimons_images/Icemon.jpg,Champion,Data,Nature Spirits,Gotsumon,Meteormon | IceDevimon (Enhancement Absorbent) | IceDevimon,Unknown,Unknown,On the Rock | Digimon World 2,True,
198,Ikkakumon,/digimons_images/Ikkakumon.jpg,Champion,Vaccine,Deep Savers,Gomamon,Zudomon,Unknown,Unknown,Harpoon Vulcan | Digimon Digital Card Battle | Northern Lights | Digimon Rumble Arena 2,True,
199,Imperialdramon Dragon Mode,/digimons_images/Imperialdramon_Dragon_Mode.jpg,Mega,Vaccine / Free,Nature Spirits,Paildramon,Unknown,Imperialdramon Fighter Mode | Imperialdramon Dragon Mode (Black),Unknown,Mega Death | Splendor Blade,True,
200,Imperialdramon Fighter Mode,/digimons_images/Imperialdramon_Fighter_Mode.jpg,Mega,Vaccine / Free,Nature Spirits,Flamedramon,Unknown,Imperialdramon Paladin Mode | Omnimon,Unknown,Giga Death | Super Positron Laser | Ion Blaster | Digimon All-Star Rumble | Chōetsu Positron Laser,True,
201,Imperialdramon Paladin Mode,/digimons_images/Imperialdramon_Paladin_Mode.jpg,Mega,Vaccine / Free,Metal Empire,Unknown,Unknown,Unknown,Unknown,Omega Blade | Giga Death,True,
202,Impmon,/digimons_images/Impmon.jpg,Rookie,Virus,Nightmare Soldiers,Yaamon,IceDevimon | Meramon,Unknown,Shoutmon X7F Superior Mode,Summon | Night of Fire | Pillar of Fire | Dadadada Kick | Digimon All-Star Rumble | Night of Blizzard | Yami Fire,True,"Mischievous demon Digimon, playful trickster hiding a strong emotional side."
203,Infermon,/digimons_images/Infermon.jpg,Ultimate,Virus / Free,Dark Area,Chrysalimon,Diaboromon,Unknown,Unknown,Hell's Grenade | Cocoon Attack | Virus Skater,True,
204,Insekimon,/digimons_images/placeholder.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,
205,Jesmon,/digimons_images/Jesmon.jpg,Mega,Data,Virus Busters,SaviorHuckmon,Unknown,Jesmon GX,Unknown,Tekken Seibai | Schwertgeist | OSGenerics,True,
206,Jewelbeemon,/digimons_images/JewelBeemon.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,
207,Jumbo Gamemon,/digimons_images/placeholder.jpg,Mega,Data,Deep Savers,Shawjamon,Unknown,Unknown,Unknown,Unknown,True,
208,Junomon,/digimons_images/Junomon.png,Mega,Virus,Nightmare Soldiers,Unknown,Unknown,Junomon Hysteric Mode,Unknown,Grace Lance,True,
209,Junomon Hysteric Mode,/digimons_images/JunomonHisterycMode.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,
210,Jupitermon,/digimons_images/Jupitermon.jpg,Mega,Vaccine,Wind Guardians,Aegiochusmon Holy,Unknown,Jupitermon Wrath Mode,Unknown,Unknown,True,
211,Jupitermon  Wrath Mode,/digimons_images/placeholder.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,
212,Justimon,/digimons_images/Justimon.jpg,Mega,Vaccine,Metal Empire,Unknown,Unknown,Unknown,Unknown,Accel Arm,True,
213,Jyureimon,/digimons_images/placeholder.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,
214,Kabuterimon,/digimons_images/Kabuterimon.jpg,Champion,Vaccine,Nature Spirits,Tentomon,MegaKabuterimon (Red) | MegaKabuterimon (Blue) | Kimeramon | Devimon | Kongoumon | TyrantKabuterimon,Unknown,Shoutmon X7F Superior Mode,Mega Blaster | Beetle Horn | Blink Thrust | Insect Plague | Danger Sting,True,
215,Kaiser Greymon,/digimons_images/placeholder.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,
216,Kamemon,/digimons_images/Kamemon.jpg,Rookie,Data,Deep Savers,Unknown,Gwappamon,Unknown,Shoutmon X7F Superior Mode,Pointer Arrow | 'met Tackle | Kōra Gādo | Kōra Atakku,True,
217,Karatuki Numemon,/digimons_images/placeholder.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,
218,Keramon,/digimons_images/Keramon.jpg,Rookie,Virus / Free,Dark Area,Tsumemon,Chrysalimon,Unknown,Unknown,Crazy Giggle,True,
219,King Etemon,/digimons_images/placeholder.jpg,Mega,Virus,Nightmare Soldiers,Etemon,Unknown,Unknown,Unknown,Saru Shibai,True,
220,Kiwimon,/digimons_images/Kiwimon.jpg,Champion,Data,Wind Guardians,Floramon,Sinduramon | Blossomon | Sirenmon,Unknown,Unknown,Little Pecker | Nose Mattock,True,
221,Knightmon,/digimons_images/Knightmon.jpg,Ultimate,Data,Metal Empire,Gummymon,Crusadermon | Leopardmon,Unknown,Shoutmon X7F Superior Mode,Digimon Frontier,True,
222,Kokuwamon,/digimons_images/Kokuwamon.jpg,Rookie,Data,Metal Empire,Kapurimon,Guardromon | Thundermon,Unknown,Unknown,Scissor Arms Mini | Assemble Work | Elect-Elect | Inazuma Giri,True,
223,Koromon,/digimons_images/Koromon.jpg,In-Training,Data / Free,Dragon's Roar,Botamon,Agumon | Agumon (2006 anime) | Betamon | Agumon Expert,Unknown,Unknown,Awa | San no Awa | Doku no Awa,True,"Pink baby Digimon with small ears, energetic and playful."
224,Kotemon,/digimons_images/Kotemon.jpg,Rookie,Data,Nature Spirits,Unknown,Dinohyumon | Kyukimon | Musyamon | Gladimon,Unknown,Unknown,FireMen | Inazuma Giri,True,
225,Kudamon,/digimons_images/Kudamon.jpg,Rookie,Vaccine,Virus Busters,Unknown,Unknown,Unknown,Unknown,Dangan Senpū | Zekkoushou,True,
226,Kuramon,/digimons_images/Kuramon.jpg,Fresh,Free,Nightmare Soldiers,Unknown,Tsumemon | Armageddemon,Unknown,Unknown,Glare Eye | Awa,True,
227,Kuwagamon,/digimons_images/Kuwagamon.jpg,Champion,Virus,Nature Spirits,Unknown,Megadramon | Kokatorimon | Okuwamon | MetalTyrannomon | DarkTyrannomon,Unknown,Unknown,Scissor Arms | Trap Scissors,True,
228,Kuzuhamon,/digimons_images/Kuzuhamon.jpg,Mega,Data,Nightmare Soldiers,Doumon,Unknown,Kuzuhamon Maid Mode,Unknown,Ura Izuna | Taizoukai Mandala[10],True,
229,Kyubimon,/digimons_images/Kyubimon.jpg,Champion,Data,Nightmare Soldiers,Renamon,Taomon,Unknown,Unknown,Koenryū | Onibidama | Zutsuki | Koshūgeki | Kodengeki | Amatsu-kitsune,True,
230,Lady Devimon,/digimons_images/placeholder.jpg,Ultimate,Virus,Unknown,BlackGatomon,SkullSatamon | MarineDevimon | Myotismon | MarineDevimon | Minervamon | Mastemon | Angewomon | Apocalymon | Vilemon | DemiDevimon | SkullSatamon | Myotismon | Puppetmon,Unknown,Shoutmon X7F Superior Mode,Poison | citation needed | Binta,True,
231,Lalamon,/digimons_images/Lalamon.jpg,Rookie,Data,Jungle Troopers,Budmon,Sunflowmon,Unknown,Unknown,Nuts Shoot | Lala Screw | Petit Tackle,True,
232,Lekismon,/digimons_images/Lekismon.jpg,Champion,Data,Deep Savers,Lunamon,Crescemon,Unknown,Unknown,Unknown,True,
233,Leomon,/digimons_images/Leomon.jpg,Champion,Vaccine,Nature Spirits,Elecmon,IceLeomon | GrapLeomon | BanchoLeomon,Unknown,Unknown,Jūouken | Shishiou-maru | Jūga-maru | Hasaigeri | Hyakujūken[22] | Jūouha | Shishi Jūhazan | citation needed,True,"Lion warrior Digimon, noble-hearted and a symbol of courage."
234,Leviamon,/digimons_images/Leviamon.jpg,Mega,Virus,Deep Savers,MarineDevimon,Ogudomon | Lucemon Chaos Mode | Daemon | Belphemon Rage Mode | Barbamon | Beelzemon | Lilithmon,Unknown,Shoutmon X7F Superior Mode,Rostrum | Cauda | Anima | Duo Cauda,True,
235,Lighdramon,/digimons_images/placeholder.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,
236,Lilamon,/digimons_images/Lilamon.jpg,Ultimate,Data,Jungle Troopers,Sunflowmon,Rosemon | Lotosmon | Minervamon,Unknown,Shoutmon X7F Superior Mode,Un Deux Pollen,True,
237,Lilimon,/digimons_images/placeholder.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,
238,Lilithmon,/digimons_images/Lilithmon.jpg,Mega,Virus,Nightmare Soldiers,Bastemon,Unknown,Unknown,Unknown,NazarNail,True,
239,Loader Leomon,/digimons_images/placeholder.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,
240,Locomon,/digimons_images/Locomon.jpg,Ultimate,Data,Metal Empire,Unknown,GranLocomon,Unknown,Unknown,Unknown,True,
241,Lopmon,/digimons_images/Lopmon.jpg,Rookie,Data,Nature Spirits,Kokomon,Wendigomon | Turuiemon,Unknown,Shoutmon X7F Superior Mode,Petit Twister | Kūchū Blazing Ice | Guruguru Slap,True,"Rabbit Digimon with three horns, gentle yet resilient in spirit."
242,Lord Knightmon,/digimons_images/placeholder.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,
243,Lotusmon,/digimons_images/placeholder.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,
244,Lucemon,/digimons_images/Lucemon.jpg,Rookie,Vaccine,Virus Busters,Unknown,Lucemon Chaos Mode,Unknown,Unknown,Divine Feat,True,
245,Lucemon  Falldown Mode,/digimons_images/placeholder.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,
246,Lucemon  Satan Mode,/digimons_images/placeholder.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,
247,Lunamon,/digimons_images/Lunamon.jpg,Rookie,Data,Deep Savers,Moonmon,Lekismon,Unknown,Unknown,Pico Darts,True,Moon-born Digimon with mysterious powers tied to lunar energy.
248,Mach Gaogamon,/digimons_images/placeholder.jpg,Ultimate,Data,Nature Spirits,Gaogamon,MirageGaogamon | ZeedGarurumon,Unknown,Unknown,Gaoga Tornado,True,
249,Magna Garurumon,/digimons_images/placeholder.jpg,Hybrid,Data / Variable,Metal Empire,Spirits,Susanoomon | EmperorGreymon,MagnaGarurumon (SV),Unknown,Machine Gun Destroy | Starlight Velocity,True,
250,Magna Garurumon  Separation,/digimons_images/placeholder.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,
251,Magna Kidmon,/digimons_images/placeholder.jpg,Mega,Virus,Virus Busters,Unknown,Unknown,Unknown,Unknown,Unknown,True,
252,Magnamon,/digimons_images/Magnamon.jpg,Armor,Vaccine / Free,Metal Empire,Veemon,Unknown,Unknown,Unknown,Plasma Shoot | Extreme Jihad | Magnum Punch | Magnum Kick | Light Aura Barrier,True,
253,Mamemon,/digimons_images/Mamemon.jpg,Ultimate,Data,Metal Empire,Seadramon,TonosamaMamemon | PrinceMamemon | Machinedramon,MetalMamemon | BigMamemon | CatchMamemon,Unknown,Smiley Bomb | One-Two Rush | Buster Dive | Strike Upper,True,
254,Mammon,/digimons_images/placeholder.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,
255,Marin Angemon,/digimons_images/placeholder.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,
256,Marsmon,/digimons_images/Marsmon.jpg,Mega,Vaccine,Virus Busters,GrapLeomon,Unknown,Unknown,Unknown,Mugenhadou,True,
257,Mastemon,/digimons_images/Mastemon.jpg,Mega,Vaccine,Unknown,Angewomon,Unknown,Unknown,Unknown,Chaos Degrade,True,
258,Master Blimpmon,/digimons_images/placeholder.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,
259,Matadrmon,/digimons_images/placeholder.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,
260,Mechanorimon,/digimons_images/placeholder.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,
261,Medieval Dukemon,/digimons_images/placeholder.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,
262,Mega Seadramon,/digimons_images/placeholder.jpg,Ultimate,Data,Deep Savers,SnowAgumon,MetalSeadramon,Unknown,Unknown,Maelstrom | Dramon Attack | Ice Arrow | Stinger Surprise | Ice Reflect | Shimetsukeru,True,
263,Megadramon,/digimons_images/Megadramon.jpg,Ultimate,Virus,Metal Empire,Monodramon,Ghoulmon | Cherrymon | Machinedramon | WarGreymon | Dinorexmon,Unknown,Unknown,Genocide Attack | Ultimate Slicer | Mega Death Scythe,True,
264,Megalo Growmon,/digimons_images/placeholder.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,
265,Megidramon,/digimons_images/Megidramon.jpg,Mega,Virus,Nightmare Soldiers,WarGrowlmon,Unknown,Unknown,Unknown,Hell Howling | MegiddoFlame,True,
266,Meramon,/digimons_images/Meramon.jpg,Champion,Data,Nightmare Soldiers,DemiMeramon,BlueMeramon | SkullMeramon | FusedAncientVolcanomon | AncientVolcanomon,Unknown,Unknown,Burning Fist | Guren no Honoo | Magma Bomb,True,"Flame-covered Digimon, hot-tempered but strong-willed."
267,Mercurymon,/digimons_images/Mercurymon.jpg,Hybrid,Variable,Metal Empire,H Spirit of Steel,ShadowSeraphimon | Seraphimon,Unknown,Unknown,Generous Mirror | Offset Reflector,True,
268,Mervamon,/digimons_images/Mervamon.jpg,Mega,Virus,Nightmare Soldiers,Unknown,Unknown,Unknown,Shoutmon X7F Superior Mode,Hebi Panchi,True,
269,Metal Etemon,/digimons_images/placeholder.jpg,Mega,Virus,Nature Spirits,Etemon,Unknown,KingEtemon,Unknown,Mega Punch | Hekoki Attack | Number One Punch | Full Metal Hip Attack | Heavy Mon-kick | Dark Recital | Love Serenade,True,
270,Metal Garurumon,/digimons_images/placeholder.jpg,Mega,Data,Metal Empire,WereGarurumon,Omnimon | WarGreymon | Omnimon X | WarGreymon | Omnimon Zwart | WarGreymon,Unknown,Shoutmon X7F Superior Mode,CocytusBreath | Metal Fang | Blizzard Attack | Giga Destruction | Metal Scratch,True,
271,Metal Greymon,/digimons_images/placeholder.jpg,Ultimate,Virus,Dragon's Roar,Greymon (2010 anime),ZekeGreymon,Unknown,Unknown,Giga Destroyer,True,
272,Metal Mamemon,/digimons_images/placeholder.jpg,Ultimate,Data,Metal Empire,Unknown,PrinceMamemon,Unknown,Unknown,Energy Bomb | Magnet Beam,True,
273,Metal Seadramon,/digimons_images/placeholder.jpg,Mega,Data,Deep Savers,MegaSeadramon,Unknown,GigaSeadramon,Unknown,Ultimate Stream | Hell Squeeze | Poseidon Divide | Shimetsuke,True,
274,Metal Tyranomon,/digimons_images/placeholder.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,
275,Millenniumon,/digimons_images/placeholder.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,
276,Minervamon,/digimons_images/Minervamon.jpg,Mega,Virus,Nightmare Soldiers,Digitamamon,Unknown,Mervamon,Unknown,Unknown,True,
277,Minotaurmon,/digimons_images/placeholder.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,
278,Mirage Gaogamon,/digimons_images/placeholder.jpg,Mega,Data,Nature Spirits,MachGaogamon,Unknown,MirageGaogamon Burst Mode,Unknown,Unknown,True,
279,Mirage Gaogamon  Burst Mode,/digimons_images/placeholder.jpg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,False,
